wave,agn_b,agn_b_err,agn_f,agn_f_err,agn_rms,agn_rms_err,gal,gal_err,unred_agn_b,unred_agn_b_err,unred_agn_f,unred_agn_f_err,unred_agn_rms,unred_agn_rms_err,unred_gal,unred_gal_err,epsilon,epsilon_err,unred_agn_b_Jy,unred_agn_b_Jy_err
1928,8.45551115506082,0.06015840601559227,5.620444262691886,0.05361748301218089,0.5970391071768317,0.022558932106989033,0.2818819156392836,0.2539255670937014,9.35898767329939,0.0665863683484453,6.22099215628334,0.05934654373721667,0.660833099510641,0.024969367746117008,0.31200117005523575,0.2810576686358135,0.6647078053143978,0.00791044862438372,0.0011596359745128574,8.25045943476491e-06
2236,6.155482803087053,0.37261142856809704,4.094782500975553,0.2942050360502547,0.4368399843171349,0.019535617520889875,0.6094731608872967,0.18579158285200612,6.911561649897013,0.4183793444623127,4.597745230352772,0.33034228336268356,0.4904971030434415,0.021935180258601902,0.6843348377673275,0.20861238996063666,0.6652252360971534,0.062497616434764425,0.00115185690449145,6.972565116636155e-05
2600,3.8629406320194484,0.1788108334304242,2.5688822985094943,0.14204898189723644,0.2742689045677609,0.011303961430674051,1.4802137164635927,0.11664878613706914,4.19539572352185,0.19419977611750228,2.789967238964146,0.15427410047219647,0.29787322636565267,0.012276810845087584,1.6076049019431258,0.12668789534506386,0.6650069320807934,0.047955725305687036,0.0009453625030335901,4.3759682885143844e-05
3467,2.749012426923299,0.15439271212626784,1.8286687959871897,0.12414396666836121,0.19498790929072826,0.007746804218509471,0.9753413092746485,0.0829299368297473,2.9243169931089508,0.16423833783404745,1.945283034190747,0.132060629397209,0.20742229136731832,0.00824081804673029,1.0375388400790841,0.08821838022031186,0.6652093595785742,0.05861022268733975,0.0011716850173793991,6.580531459924392e-05
4392,1.337159888427073,0.12556664395250502,0.8897727558945046,0.0923816802867591,0.09528342769484624,0.007449603304527114,1.1635982650263612,0.04052481340201296,1.4070215311378518,0.13212703519077384,0.9362600809362451,0.0972082803045078,0.10026163324789049,0.007838817435838004,1.224391956905481,0.04264208453713706,0.6654198675830468,0.0931542877393422,0.0009046990858804898,8.495620380487344e-05
4770,1.1678697696417657,0.036164793751812856,0.7767124113366299,0.03521268256780839,0.08281102040440103,0.0010368032922791627,0.9434676497647763,0.035220197580068335,1.223368102549609,0.037883380717033524,0.8136225575691474,0.036886024262684086,0.08674628245014385,0.0010860732158362277,0.9883021707666234,0.03689389639580035,0.6650676569656221,0.03651356867909637,0.0009278390700167001,2.8731892437219735e-05
5468,0.9292236644042539,0.06996898665908984,0.6177947896312257,0.04854026588527969,0.06588709959926545,0.005167704193892098,1.1088354999192134,0.028022317012053665,0.9654862129713848,0.07269949587243932,0.6419039620745316,0.05043452860861972,0.06845831494890632,0.005369371598081294,1.152107322096233,0.029115875721909188,0.6648504695877583,0.07235307048265606,0.0009622365151100182,7.245479906259881e-05
6215,0.48413246775377894,0.02697282866873989,0.32205747650485383,0.021878486087223238,0.034463390333301376,0.0012950318399923629,1.110376216799047,0.014657558992635999,0.4998830344166472,0.0278503515872176,0.33253516203687367,0.02259027175860833,0.03558460810535376,0.0013371638734438157,1.146500740123625,0.015134421990690183,0.6652259411542844,0.058445232808314575,0.0006436198187020053,3.585846489123247e-05
7545,0.40161300063514394,0.013243856648408308,0.2670942720938455,0.012348366693893227,0.028460216113652646,0.0005488443848068793,0.9353889732314816,0.012104360383428135,0.41123380497647904,0.013561118672639394,0.2734926250566289,0.012644176888556059,0.02914199227704511,0.0005619921774124889,0.9577966001765017,0.012394325306729423,0.6650538495303703,0.03776709824459586,0.000780343903224705,2.5733138056843656e-05
8700,0.30366175501403575,0.01508195535656658,0.20197800859194104,0.012387067058996412,0.021537367408716264,0.0007598677134953425,0.7996587829227395,0.009160016768120848,0.3093689248231736,0.015365413114590085,0.2057740835790346,0.012619875748189433,0.021942151386328636,0.0007741490446204911,0.8146879671652452,0.009332174671732382,0.6651414123013459,0.05249153093624192,0.0007805377973288669,3.876693728811079e-05
